number	value fitness deviation
  593,	77829.751,43147.690,10262.126


  594,	77829.751,42443.359,10503.950


  595,	77829.751,41965.434,12074.804


  596,	77829.751,44071.332,10566.854


  597,	77829.751,47766.447,11439.783


  598,	77829.751,45716.015,11703.256


  599,	77829.751,47352.705,8998.141


  600,	77829.751,48164.663,8032.033


  601,	77829.751,45109.989,6494.979


  602,	77829.751,45664.681,7494.997


  603,	77829.751,44066.162,8591.458


  604,	77829.751,45525.658,6263.843


  605,	77829.751,46141.139,6102.521


  606,	77829.751,44873.790,6958.696


  607,	77829.751,42557.795,7048.306


  608,	77829.751,44000.393,5852.222


  609,	77829.751,44990.342,7418.697


  610,	77829.751,44158.983,6659.781


  611,	77829.751,45432.942,8623.465


  612,	77829.751,40835.008,10723.920


  613,	77829.751,40679.408,8726.223


  614,	77829.751,40660.227,9518.314


  615,	77829.751,40878.745,6945.534


  616,	77829.751,43126.168,7624.184


  617,	77829.751,42899.535,8297.774


  618,	77829.751,42549.124,8921.984


  619,	77829.751,45670.927,10843.548


  620,	77829.751,42842.665,8483.249


  621,	77829.751,44785.719,9014.517


  622,	77829.751,44083.653,8358.381


  623,	77829.751,41798.968,10238.158


  624,	77829.751,41674.140,9132.045


  625,	77829.751,42205.707,7725.070


  626,	77829.751,41590.203,8394.108


  627,	77829.751,44213.673,10220.576


  628,	77829.751,44589.051,8647.328


  629,	77829.751,45435.094,9117.579


  630,	77829.751,44378.810,9753.781


  631,	77829.751,39883.735,10196.960


  632,	77829.751,45619.421,11557.619


  633,	77829.751,45833.218,10009.210


  634,	77829.751,43598.427,10452.250


  635,	77829.751,43824.815,10280.838


  636,	77829.751,45561.673,8762.356


  637,	77829.751,47821.981,8496.613


  638,	77829.751,47975.091,9437.447


  639,	77829.751,45314.263,9378.674


  640,	77829.751,44881.625,10027.150


  641,	77829.751,43719.417,11201.962


  642,	77829.751,43571.148,10063.411


  643,	77829.751,41387.020,9270.027


  644,	77829.751,43156.804,10982.067


  645,	77829.751,44150.665,10014.818


  646,	77829.751,43939.088,11534.677


  647,	77829.751,41810.153,12836.535


  648,	77829.751,41305.497,9063.998


  649,	77829.751,43197.279,9171.701


  650,	77829.751,44748.295,9562.866


  651,	77829.751,46757.593,7057.235


  652,	77829.751,45124.986,7488.390


  653,	77829.751,41369.399,8961.127


  654,	77829.751,43413.902,8551.600


  655,	77829.751,45499.391,7101.753


  656,	77829.751,44665.842,5592.927


  657,	77829.751,46205.772,8277.624


  658,	77829.751,46246.883,7219.443


  659,	77829.751,44961.237,8052.030


  660,	77829.751,46869.816,8444.726


  661,	77829.751,47693.123,10031.134


  662,	77829.751,47692.406,6420.321


  663,	77829.751,46710.498,8780.385


